"UniqueID","Popular.fctr","Popular.fctr.predict.All.X.glm.prob","Popular.fctr.predict.All.X.glm","Popular.fctr.predict.All.X.glm.accurate"
31,"N",0.00200802496582645,"N",TRUE
30,"N",5.64948555707937e-12,"N",TRUE
29,"N",0.000567537126131996,"N",TRUE
25,"N",1,"Y",FALSE
24,"N",0.112040649812093,"N",TRUE
22,"N",2.22044604925031e-16,"N",TRUE
21,"N",2.22044604925031e-16,"N",TRUE
18,"N",6.53668825311989e-12,"N",TRUE
17,"N",0.920751570041574,"Y",FALSE
16,"Y",0.976645589291909,"Y",TRUE
12,"N",2.22044604925031e-16,"N",TRUE
9,"Y",0.839851071234046,"Y",TRUE
8,"Y",0.961657744794341,"Y",TRUE
4,"Y",7.59512698902286e-10,"N",FALSE
115,"N",2.22044604925031e-16,"N",TRUE
110,"N",0.00250891611889479,"N",TRUE
106,"N",0.0246588940709516,"N",TRUE
104,"Y",0.472402463814627,"Y",TRUE
100,"N",2.80914618424288e-11,"N",TRUE
99,"N",0.0616213876772208,"N",TRUE
96,"N",9.56664358895745e-12,"N",TRUE
95,"Y",0.185170117321775,"N",FALSE
94,"N",0.00577230661675043,"N",TRUE
88,"N",0.0011550473578959,"N",TRUE
85,"Y",0.760564750841096,"Y",TRUE
83,"N",0.0166206179466552,"N",TRUE
76,"N",0.174657862706641,"N",TRUE
73,"N",9.80478186305636e-11,"N",TRUE
72,"N",0.213344076603495,"N",TRUE
68,"N",2.22044604925031e-16,"N",TRUE
57,"Y",0.672304086411267,"Y",TRUE
56,"Y",0.745274519841476,"Y",TRUE
55,"N",2.22044604925031e-16,"N",TRUE
52,"Y",0.735050176777664,"Y",TRUE
51,"N",6.62982396730496e-11,"N",TRUE
46,"N",0.113445065316951,"N",TRUE
43,"N",8.05929699247441e-11,"N",TRUE
37,"Y",0.172184405710311,"N",FALSE
35,"Y",0.962806094503558,"Y",TRUE
199,"N",2.22044604925031e-16,"N",TRUE
198,"N",0.00569085408013208,"N",TRUE
195,"N",2.22044604925031e-16,"N",TRUE
194,"N",0.25475712892509,"N",TRUE
189,"N",4.02366789823015e-10,"N",TRUE
186,"N",0.0687241970547992,"N",TRUE
184,"N",2.22044604925031e-16,"N",TRUE
182,"N",3.80793362710974e-11,"N",TRUE
181,"N",2.22044604925031e-16,"N",TRUE
179,"N",0.00187113264166547,"N",TRUE
174,"N",0.112579992263745,"N",TRUE
172,"Y",2.10659352493889e-11,"N",FALSE
170,"N",0.0059821326523786,"N",TRUE
167,"N",0.295818530537704,"N",TRUE
163,"Y",0.0478148944869312,"N",FALSE
162,"N",4.90403236932433e-11,"N",TRUE
160,"N",1.40646000662202e-10,"N",TRUE
158,"N",3.29860841138514e-10,"N",TRUE
157,"Y",0.999999999897029,"Y",TRUE
156,"Y",0.729571623463093,"Y",TRUE
151,"N",0.0568111744231557,"N",TRUE
150,"N",0.195340439640784,"N",TRUE
146,"N",2.22044604925031e-16,"N",TRUE
139,"Y",0.810935253031743,"Y",TRUE
135,"N",0.055614853824015,"N",TRUE
134,"N",0.0492627469840755,"N",TRUE
126,"N",2.22044604925031e-16,"N",TRUE
301,"N",8.37055566589115e-11,"N",TRUE
299,"N",2.22044604925031e-16,"N",TRUE
294,"N",0.0121152470405719,"N",TRUE
290,"N",2.22044604925031e-16,"N",TRUE
284,"N",0.194367149098521,"N",TRUE
281,"N",2.22044604925031e-16,"N",TRUE
279,"N",2.22044604925031e-16,"N",TRUE
277,"N",0.000537546989429946,"N",TRUE
272,"N",0.222860924762808,"N",TRUE
270,"N",2.22044604925031e-16,"N",TRUE
265,"N",0.00225580925893104,"N",TRUE
263,"N",0.296091488512004,"N",TRUE
260,"N",5.93222408149631e-10,"N",TRUE
256,"N",0.0070333892422378,"N",TRUE
252,"Y",0.75208229498284,"Y",TRUE
251,"N",0.0654685911251469,"N",TRUE
248,"N",5.22779278982719e-11,"N",TRUE
247,"N",0.00151277371594682,"N",TRUE
246,"N",0.0867804359225055,"N",TRUE
239,"N",0.0260690461640488,"N",TRUE
238,"Y",0.975967671749182,"Y",TRUE
237,"N",0.0119744479954407,"N",TRUE
230,"N",0.150564633675533,"N",TRUE
226,"N",2.22044604925031e-16,"N",TRUE
224,"N",0.00553326180206657,"N",TRUE
222,"N",6.90188133325517e-11,"N",TRUE
218,"N",0.0204133986782331,"N",TRUE
216,"N",0.00389233426123947,"N",TRUE
214,"N",0.681638317896739,"Y",FALSE
202,"Y",0.848663341450498,"Y",TRUE
393,"Y",0.443270354827077,"Y",TRUE
392,"N",2.22044604925031e-16,"N",TRUE
390,"N",0.0271159351948335,"N",TRUE
389,"N",0.00752583651911945,"N",TRUE
382,"N",0.121000038523465,"N",TRUE
367,"N",0.036697486438808,"N",TRUE
361,"Y",0.839985142343446,"Y",TRUE
359,"N",0.37649871394017,"N",TRUE
347,"N",1.99130139757108e-10,"N",TRUE
346,"N",0.078210220468659,"N",TRUE
345,"Y",0.840061624080333,"Y",TRUE
343,"N",0.524858492086184,"Y",FALSE
340,"Y",0.82253449923895,"Y",TRUE
338,"Y",0.885143887986264,"Y",TRUE
335,"Y",0.955845645260261,"Y",TRUE
334,"N",0.104223876064192,"N",TRUE
332,"N",0.0261087582633622,"N",TRUE
328,"N",2.17731685842981e-09,"N",TRUE
327,"Y",0.410112269852461,"Y",TRUE
323,"N",0.0352685984009317,"N",TRUE
318,"N",3.07624037813358e-06,"N",TRUE
306,"N",8.33875163752174e-12,"N",TRUE
303,"N",0.392419215235444,"N",TRUE
417,"N",2.22044604925031e-16,"N",TRUE
416,"N",0.0230510833346847,"N",TRUE
415,"N",1.45911745001828e-10,"N",TRUE
411,"N",2.22044604925031e-16,"N",TRUE
407,"N",2.22044604925031e-16,"N",TRUE
405,"N",4.00520562121442e-11,"N",TRUE
400,"N",0.00188814797192406,"N",TRUE
396,"N",2.22044604925031e-16,"N",TRUE
395,"N",0.0952581162122401,"N",TRUE
447,"N",2.22044604925031e-16,"N",TRUE
443,"N",2.22044604925031e-16,"N",TRUE
442,"N",2.22044604925031e-16,"N",TRUE
437,"N",2.22044604925031e-16,"N",TRUE
436,"Y",0.500388846030491,"Y",TRUE
429,"N",0.531436220346889,"Y",FALSE
428,"N",2.31413406461964e-11,"N",TRUE
420,"Y",0.508141218503589,"Y",TRUE
419,"N",0.662015444759515,"Y",FALSE
418,"Y",0.272185835654262,"N",FALSE
558,"N",2.22044604925031e-16,"N",TRUE
555,"N",0.000843227379984299,"N",TRUE
554,"Y",0.764547449411486,"Y",TRUE
552,"N",2.22044604925031e-16,"N",TRUE
551,"N",2.22044604925031e-16,"N",TRUE
549,"N",2.22044604925031e-16,"N",TRUE
548,"N",0.189686955348517,"N",TRUE
547,"N",0.107426146456266,"N",TRUE
544,"N",1.00683115738779e-11,"N",TRUE
543,"N",0.0243596652213381,"N",TRUE
539,"N",3.99612857045168e-12,"N",TRUE
537,"N",3.49523395873822e-10,"N",TRUE
534,"N",2.22044604925031e-16,"N",TRUE
532,"N",0.072323452466995,"N",TRUE
531,"N",2.22044604925031e-16,"N",TRUE
530,"N",0.00543968139727638,"N",TRUE
529,"N",0.00206330864265359,"N",TRUE
526,"N",2.52454529976072e-10,"N",TRUE
525,"N",2.22044604925031e-16,"N",TRUE
524,"N",0.0553253782265109,"N",TRUE
521,"N",0.0706014325465433,"N",TRUE
517,"N",3.24552320750545e-10,"N",TRUE
513,"N",2.22044604925031e-16,"N",TRUE
510,"N",4.83328661787906e-11,"N",TRUE
508,"N",0.311170295892039,"N",TRUE
507,"N",0.0459354514260015,"N",TRUE
502,"N",0.0438038663009196,"N",TRUE
501,"N",3.41495577083535e-13,"N",TRUE
499,"Y",0.765109523890049,"Y",TRUE
497,"N",0.0786246657667709,"N",TRUE
