"UniqueID","Popular.fctr","Popular.fctr.predict.Low.cor.X.glm.prob","Popular.fctr.predict.Low.cor.X.glm","Popular.fctr.predict.Low.cor.X.glm.accurate"
31,"N",0.0113095670789575,"N",TRUE
30,"N",1.491393231907e-10,"N",TRUE
29,"N",0.00377444082990315,"N",TRUE
25,"N",0.0075732590940571,"N",TRUE
24,"N",0.26355354614922,"N",TRUE
22,"N",0.0160111621098517,"N",TRUE
21,"N",2.22044604925031e-16,"N",TRUE
18,"N",5.31474877844507e-10,"N",TRUE
17,"N",0.873051495936209,"Y",FALSE
16,"Y",0.936462362474312,"Y",TRUE
12,"N",2.22044604925031e-16,"N",TRUE
9,"Y",0.767551821235242,"Y",TRUE
8,"Y",0.922903032436473,"Y",TRUE
4,"Y",7.23753666577302e-09,"N",FALSE
115,"N",1.19728685949274e-10,"N",TRUE
110,"N",0.00238310609803405,"N",TRUE
106,"N",0.0243304133791904,"N",TRUE
104,"Y",0.511672866616403,"Y",TRUE
100,"N",4.07396932934775e-09,"N",TRUE
99,"N",0.0818564472530204,"N",TRUE
96,"N",0.0706650212146352,"N",TRUE
95,"Y",0.162911502910643,"N",FALSE
94,"N",0.0104462327631888,"N",TRUE
88,"N",0.00135549536292076,"N",TRUE
85,"Y",0.759748665134578,"Y",TRUE
83,"N",0.0178072310140607,"N",TRUE
76,"N",0.157087501704118,"N",TRUE
73,"N",3.91562982638399e-10,"N",TRUE
72,"N",0.143793159894347,"N",TRUE
68,"N",2.22044604925031e-16,"N",TRUE
57,"Y",0.657968441060563,"Y",TRUE
56,"Y",0.614316158075251,"Y",TRUE
55,"N",5.74468657786293e-11,"N",TRUE
52,"Y",0.452288908574716,"Y",TRUE
51,"N",3.56130126457418e-10,"N",TRUE
46,"N",0.0918386786379233,"N",TRUE
43,"N",4.33025080854276e-11,"N",TRUE
37,"Y",0.186135741883765,"N",FALSE
35,"Y",0.962386432690903,"Y",TRUE
199,"N",1.9198451988762e-10,"N",TRUE
198,"N",0.0107832615078473,"N",TRUE
195,"N",4.41040043728411e-11,"N",TRUE
194,"N",0.30834508252802,"N",TRUE
189,"N",2.06508150981001e-08,"N",TRUE
186,"N",0.089092839834397,"N",TRUE
184,"N",4.02760732274849e-10,"N",TRUE
182,"N",3.99773274921391e-10,"N",TRUE
181,"N",6.27319845028123e-10,"N",TRUE
179,"N",0.00161742537747578,"N",TRUE
174,"N",0.0985989644519123,"N",TRUE
172,"Y",4.03584618433471e-10,"N",FALSE
170,"N",0.00859766708617723,"N",TRUE
167,"N",0.555295604915597,"Y",FALSE
163,"Y",0.0241260465267455,"N",FALSE
162,"N",4.60529806333278e-10,"N",TRUE
160,"N",2.05277752723506e-09,"N",TRUE
158,"N",1.97580212875174e-09,"N",TRUE
157,"Y",0.999999999166296,"Y",TRUE
156,"Y",0.813978402783984,"Y",TRUE
151,"N",0.0286007159737404,"N",TRUE
150,"N",0.162310317805275,"N",TRUE
146,"N",3.17203717985365e-10,"N",TRUE
139,"Y",0.765601289133572,"Y",TRUE
135,"N",0.0722558314837512,"N",TRUE
134,"N",0.0319498679251606,"N",TRUE
126,"N",1.49146518051155e-11,"N",TRUE
301,"N",8.56574000135489e-10,"N",TRUE
299,"N",3.00822628426731e-10,"N",TRUE
