"UniqueID","Popular.fctr","Popular.fctr.predict.Low.cor.X.glm.prob","Popular.fctr.predict.Low.cor.X.glm","Popular.fctr.predict.Low.cor.X.glm.accurate"
31,"N",0.00180139153754861,"N",TRUE
30,"N",0.000809494581517401,"N",TRUE
29,"N",0.000940443660997277,"N",TRUE
25,"N",0.00382450119512119,"N",TRUE
24,"N",0.125797213575037,"N",TRUE
22,"N",0.0221679805728363,"N",TRUE
21,"N",6.23922922627458e-07,"N",TRUE
18,"N",3.6748612172031e-12,"N",TRUE
17,"N",0.893984213966247,"Y",FALSE
16,"Y",0.966197978421825,"Y",TRUE
12,"N",5.47121534843213e-07,"N",TRUE
9,"Y",0.876061016845318,"Y",TRUE
8,"Y",0.907791568524764,"Y",TRUE
4,"Y",0.294834179511527,"N",FALSE
115,"N",1.69694179109671e-11,"N",TRUE
110,"N",0.0198433604753515,"N",TRUE
106,"N",0.0165388556575272,"N",TRUE
104,"Y",0.286802630153125,"N",FALSE
100,"N",3.67430342536175e-06,"N",TRUE
99,"N",0.0449300467700858,"N",TRUE
96,"N",2.22044604925031e-16,"N",TRUE
95,"Y",0.446187215861927,"Y",TRUE
94,"N",0.0101989166297351,"N",TRUE
88,"N",0.00386042275975165,"N",TRUE
85,"Y",0.809917079567235,"Y",TRUE
83,"N",0.00539710812711777,"N",TRUE
76,"N",0.0688135633904963,"N",TRUE
73,"N",0.000839879881549817,"N",TRUE
72,"N",0.159124713924585,"N",TRUE
68,"N",1.872978214811e-07,"N",TRUE
57,"Y",0.858963752160895,"Y",TRUE
56,"Y",0.574854821660618,"Y",TRUE
55,"N",2.38104764448666e-10,"N",TRUE
52,"Y",0.660149651020822,"Y",TRUE
51,"N",0.0132014215269075,"N",TRUE
46,"N",0.164182037013123,"N",TRUE
43,"N",0.0674010642914149,"N",TRUE
37,"Y",0.175943698433437,"N",FALSE
35,"Y",0.925559548991517,"Y",TRUE
199,"N",2.97584167137663e-11,"N",TRUE
198,"N",0.0113067414315122,"N",TRUE
195,"N",1.38021212727256e-10,"N",TRUE
194,"N",0.200091752267391,"N",TRUE
189,"N",2.55398313327416e-06,"N",TRUE
186,"N",0.052722290780525,"N",TRUE
184,"N",2.22044604925031e-16,"N",TRUE
182,"N",0.036801744364082,"N",TRUE
181,"N",2.12520216435644e-12,"N",TRUE
179,"N",0.00448823736139051,"N",TRUE
174,"N",0.120356114498894,"N",TRUE
172,"Y",0.00280334147603951,"N",FALSE
170,"N",0.0168722881445869,"N",TRUE
167,"N",0.219093007978645,"N",TRUE
163,"Y",0.0799708648967129,"N",FALSE
162,"N",0.000733818922148494,"N",TRUE
160,"N",0.0221455017750443,"N",TRUE
158,"N",0.0798931316462862,"N",TRUE
157,"Y",0.478150423252952,"Y",TRUE
156,"Y",0.847555123357744,"Y",TRUE
151,"N",0.190003293417178,"N",TRUE
150,"N",0.167700767242105,"N",TRUE
146,"N",5.47712324797536e-12,"N",TRUE
139,"Y",0.831170889415155,"Y",TRUE
135,"N",0.0217802069656862,"N",TRUE
134,"N",0.035021492560361,"N",TRUE
126,"N",9.62456899405408e-12,"N",TRUE
301,"N",0.0118513794798556,"N",TRUE
299,"N",4.28702041258564e-11,"N",TRUE
294,"N",0.0141222363231386,"N",TRUE
290,"N",4.38142961118879e-09,"N",TRUE
284,"N",0.23219226473416,"N",TRUE
281,"N",2.22044604925031e-16,"N",TRUE
279,"N",2.22044604925031e-16,"N",TRUE
277,"N",0.00082782053914351,"N",TRUE
272,"N",0.145694923545006,"N",TRUE
270,"N",1.32625962337027e-06,"N",TRUE
265,"N",0.0082843684499501,"N",TRUE
263,"N",0.146903774282206,"N",TRUE
260,"N",0.00161210203196134,"N",TRUE
256,"N",0.00992713670265408,"N",TRUE
252,"Y",0.730323381145289,"Y",TRUE
251,"N",0.0832247974801956,"N",TRUE
248,"N",0.0109652131247681,"N",TRUE
247,"N",0.00275557176294569,"N",TRUE
246,"N",0.0513302521275709,"N",TRUE
239,"N",0.0188703300011893,"N",TRUE
238,"Y",0.96774941469461,"Y",TRUE
237,"N",0.0083679656689534,"N",TRUE
230,"N",0.247944045120726,"N",TRUE
226,"N",2.22044604925031e-16,"N",TRUE
224,"N",0.0058033163814836,"N",TRUE
222,"N",3.99973127162165e-12,"N",TRUE
218,"N",0.127811985064678,"N",TRUE
216,"N",0.00938095817083223,"N",TRUE
214,"N",0.573026294606614,"Y",FALSE
202,"Y",0.788598676856894,"Y",TRUE
393,"Y",0.677052423164414,"Y",TRUE
392,"N",4.86488451276624e-11,"N",TRUE
390,"N",0.0259469936822189,"N",TRUE
389,"N",0.00785763504482683,"N",TRUE
382,"N",0.117454509548328,"N",TRUE
367,"N",0.0415890648603234,"N",TRUE
361,"Y",0.866564404755924,"Y",TRUE
359,"N",0.246793167532171,"N",TRUE
347,"N",0.0179605688603743,"N",TRUE
346,"N",0.129187922287845,"N",TRUE
345,"Y",0.520750444854934,"Y",TRUE
343,"N",0.554697369427328,"Y",FALSE
340,"Y",0.602765772786294,"Y",TRUE
338,"Y",0.782154273778996,"Y",TRUE
335,"Y",0.833556801203032,"Y",TRUE
334,"N",0.253871316360578,"N",TRUE
332,"N",0.0465633402434473,"N",TRUE
328,"N",0.0529788166819351,"N",TRUE
327,"Y",0.512453363190327,"Y",TRUE
323,"N",0.0569247347522499,"N",TRUE
318,"N",0.00014946452597793,"N",TRUE
306,"N",2.79485095731106e-12,"N",TRUE
303,"N",0.206713381934824,"N",TRUE
417,"N",2.22044604925031e-16,"N",TRUE
416,"N",0.0725058802755743,"N",TRUE
415,"N",0.01674079898024,"N",TRUE
411,"N",4.95437059730201e-13,"N",TRUE
407,"N",2.22044604925031e-16,"N",TRUE
405,"N",1.21131664086121e-09,"N",TRUE
400,"N",0.00537411993563979,"N",TRUE
396,"N",4.79824481831191e-13,"N",TRUE
395,"N",0.0782373421487231,"N",TRUE
447,"N",2.22044604925031e-16,"N",TRUE
443,"N",3.22373011818568e-06,"N",TRUE
442,"N",2.22044604925031e-16,"N",TRUE
437,"N",1.18376974906003e-12,"N",TRUE
436,"Y",0.56625106528254,"Y",TRUE
429,"N",0.0763825326313925,"N",TRUE
428,"N",7.96305039919549e-12,"N",TRUE
420,"Y",0.37107353183727,"Y",TRUE
419,"N",0.556550541431328,"Y",FALSE
418,"Y",0.282705963252459,"N",FALSE
558,"N",1.51826496400605e-13,"N",TRUE
555,"N",0.00710500593710986,"N",TRUE
554,"Y",0.620106577626272,"Y",TRUE
552,"N",5.85083471919785e-10,"N",TRUE
551,"N",5.29247538547672e-10,"N",TRUE
549,"N",1.87356106615095e-08,"N",TRUE
548,"N",0.118175625396687,"N",TRUE
547,"N",0.0997401985830596,"N",TRUE
544,"N",3.76508801416419e-13,"N",TRUE
543,"N",0.0260958887930951,"N",TRUE
539,"N",3.54698941009612e-09,"N",TRUE
537,"N",0.0415069763796506,"N",TRUE
534,"N",2.22044604925031e-16,"N",TRUE
532,"N",0.115826939811913,"N",TRUE
531,"N",2.22044604925031e-16,"N",TRUE
530,"N",0.0250080152409326,"N",TRUE
529,"N",0.00424802200357466,"N",TRUE
526,"N",6.68374672621529e-07,"N",TRUE
525,"N",6.35931016528864e-07,"N",TRUE
524,"N",0.0455604968483367,"N",TRUE
521,"N",0.0395944933462343,"N",TRUE
517,"N",0.00804459289510835,"N",TRUE
